Li-I-c-.15-v-1.20				
	1	0	-40.8538	0.0273
	2	0	-40.7645	0.1166
	3	0	-40.6445	0.2366
	4	0	-40.6061	0.275
	5	0	-40.721	0.1601
	6	0	-40.8466	0.0345
Li-I-c-.20-v-1.36				
	0	0	-41.9531	0
	1	0	-41.9372	0.0159
	2	0	-41.8818	0.0713
	3	0	-41.8	0.1531
	4	0	-41.7763	0.1768
	5	0	-41.8778	0.0753
	6	0	-41.9873	-0.0342
Li-I-c-.20-v-1.38				
	0	0	-42.8736	0
	1	0	-42.8721	0.0015
	2	0	-42.8479	0.0257
	3	0	-42.7938	0.0798
	4	0	-42.7865	0.0871
	5	0	-42.8758	-0.0022
	6	0	-42.9704	-0.0968
Li-I-c-.20-v-1.40				
	0	0	-43.6758	0
	1	0	-43.6856	-0.0098
	2	0	-43.6897	-0.0139
	3	0	-43.6681	0.0077
	4	0	-43.6687	0.0071
	5	0	-43.7483	-0.0725
	6	0	-43.8293	-0.1535
Li-I-c-.20-v-1.42				
	0	0	-44.376	0
	1	0	-44.3946	-0.0186
	2	0	-44.4243	-0.0483
	3	0	-44.4314	-0.0554
	4	0	-44.4444	-0.0684
	5	0	-44.5124	-0.1364
	6	0	-44.5809	-0.2049
Li-I-c-.20-v-1.44				
	0	0	-45.0214	0
	1	0	-45.0507	-0.0293
	2	0	-45.1039	-0.0825
	3	0	-45.1338	-0.1124
	4	0	-45.1577	-0.1363
	5	0	-45.2136	-0.1922
	6	0	-45.2727	-0.2513
Li-I-c-.20-v-1.46				
	0	0	-45.5987	0
	1	0	-45.6364	-0.0377
	2	0	-45.7109	-0.1122
	3	0	-45.7636	-0.1649
	4	0	-45.794	-0.1953
	5	0	-45.8435	-0.2448
	6	0	-45.8918	-0.2931
Li-I-c-.20-v-1.48				
	0	0	-46.1268	0
	1	0	-46.1722	-0.0454
	2	0	-46.2645	-0.1377
	3	0	-46.339	-0.2122
	4	0	-46.3801	-0.2533
	5	0	-46.4216	-0.2948
	6	0	-46.4575	-0.3307
Li-I-c-.25-v-1.20				
	0	0	-19.0231	0
	1	0	-18.8597	0.1634
	2	0	-18.4261	0.597
	3	0	-17.944	1.0791
	4	0	-17.7614	1.2617
	5	0	-18.0156	1.0075
	6	0	-18.3013	0.7218
Li-I-c-.25-v-1.22				
	0	0	-23.7546	0
	1	0	-23.6166	0.138
	2	0	-23.2476	0.507
	3	0	-22.8336	0.921
	4	0	-22.6779	1.0767
	5	0	-22.9068	0.8478
	6	0	-23.1637	0.5909
Li-I-c-.25-v-1.24				
	0	0	-27.775	0
	1	0	-27.6601	0.1149
	2	0	-27.35	0.425
	3	0	-26.998	0.777
	4	0	-26.8671	0.9079
	5	0	-27.0729	0.7021
	6	0	-27.3033	0.4717
Li-I-c-.25-v-1.26				
	0	0	-31.2426	0
	1	0	-31.1489	0.0937
	2	0	-30.8925	0.3501
	3	0	-30.597	0.6456
	4	0	-30.489	0.7536
	5	0	-30.6736	0.569
	6	0	-30.8795	0.3631
Li-I-c-.25-v-1.28				
	0	0	-34.2946	0
	1	0	-34.2203	0.0743
	2	0	-34.0127	0.2819
	3	0	-33.7689	0.5257
	4	0	-33.6817	0.6129
	5	0	-33.8471	0.4475
	6	0	-34.0304	0.2642
Li-I-c-.25-v-1.30				
	0	0	-36.9803	0
	1	0	-36.9236	0.0567
	2	0	-36.7607	0.2196
	3	0	-36.5639	0.4164
	4	0	-36.4959	0.4844
	5	0	-36.6437	0.3366
	6	0	-36.8063	0.174
Li-I-c-.25-v-1.32				
	0	0	-39.2842	0
	1	0	-39.2437	0.0405
	2	0	-39.1215	0.1627
	3	0	-38.9676	0.3166
	4	0	-38.9172	0.367
	5	0	-39.0489	0.2353
	6	0	-39.1924	0.0918
Li-I-c-.25-v-1.34				
	0	0	-41.3073	0
	1	0	-41.2815	0.0258
	2	0	-41.1964	0.1109
	3	0	-41.0818	0.2255
	4	0	-41.0474	0.2599
	5	0	-41.1642	0.1431
	6	0	-41.2904	0.0169
Li-I-c-.25-v-1.36				
	0	0	-43.1474	0
	1	0	-43.135	0.0124
	2	0	-43.0839	0.0635
	3	0	-43.0996	0.0478
	4	0	-42.9854	0.162
	5	0	-43.0888	0.0586
	6	0	-43.1987	-0.0513
Li-I-c-.25-v-1.38				
	0	0	-44.786	0
	1	0	-44.786	0
	2	0	-44.7657	0.0203
	3	0	-44.7194	0.0666
	4	0	-44.7132	0.0728
	5	0	-44.8043	-0.0183
	6	0	-44.8993	-0.1133
Li-I-c-.25-v-1.40				
	0	0	-46.2598	0
	1	0	-46.2709	-0.0111
	2	0	-46.2789	-0.0191
	3	0	-46.2623	-0.0025
	4	0	-46.2667	-0.0069
	5	0	-46.3482	-0.0884
	6	0	-46.4295	-0.1697
Li-I-c-.25-v-1.42				
	0	0	-47.5884	0
	1	0	-47.6084	-0.02
	2	0	-47.6434	-0.055
	3	0	-47.654	-0.0656
	4	0	-47.6712	-0.0828
	5	0	-47.7405	-0.1521
	6	0	-47.8092	-0.2208
Li-I-c-.25-v-1.44				
	0	0	-48.8224	0
	1	0	-48.8531	-0.0307
	2	0	-48.9101	-0.0877
	3	0	-48.9453	-0.1229
	4	0	-48.9729	-0.1505
	5	0	-49.03	-0.2076
	6	0	-49.0895	-0.2671
Li-I-c-.25-v-1.46				
	0	0	-49.9512	0
	1	0	-49.9902	-0.039
	2	0	-50.0686	-0.1174
	3	0	-50.1214	-0.1702
	4	0	-50.163	-0.2118
	5	0	-50.2135	-0.2623
	6	0	-50.26	-0.3088
Li-I-c-.25-v-1.48				
	0	0	-50.9964	0
	1	0	-51.0429	-0.0465
	2	0	-51.1406	-0.1442
	3	0	-51.2188	-0.2224
	4	0	-51.2631	-0.2667
	5	0	-51.3065	-0.3101
	6	0	-51.3428	-0.3464
Li-I-c-.30-v-1.20				
	0	0	-12.2139	0
	1	0	-12.0524	0.1615
	2	0	-11.6237	0.5902
	3	0	-11.1474	1.0665
	4	0	-10.9693	1.2446
	5	0	-11.2266	0.9873
	6	0	-11.5136	0.7003
Li-I-c-.30-v-1.22				
	0	0	-18.1956	0
	1	0	-18.0595	0.1361
	2	0	-17.6952	0.5004
	3	0	-17.2866	0.909
	4	0	-17.1355	1.0601
	5	0	-17.3673	0.8283
	6	0	-17.6253	0.5703
Li-I-c-.30-v-1.24				
	0	0	-23.38	0
	1	0	-23.2669	0.1131
	2	0	-22.9614	0.4186
	3	0	-22.6148	0.7652
	4	0	-22.488	0.892
	5	0	-22.6969	0.6831
	6	0	-22.9281	0.4519
Li-I-c-.30-v-1.26				
	0	0	-27.9323	0
	1	0	-27.8404	0.0919
	2	0	-27.5884	0.3439
	3	0	-27.2983	0.634
	4	0	-27.1945	0.7378
	5	0	-27.3818	0.5505
	6	0	-27.5885	0.3438
Li-I-c-.30-v-1.28				
	0	0	-31.9958	0
	1	0	-31.9232	0.0726
	2	0	-31.72	0.2758
	3	0	-31.4814	0.5144
	4	0	-31.3985	0.5973
	5	0	-31.5663	0.4295
	6	0	-31.7504	0.2454
Li-I-c-.30-v-1.30				
	0	0	-35.6248	0
	1	0	-35.5698	0.055
	2	0	-35.4111	0.2137
	3	0	-35.2195	0.4053
	4	0	-35.1557	0.4691
	5	0	-35.3058	0.319
	6	0	-35.4691	0.1557
Li-I-c-.30-v-1.32				
	0	0	-38.8083	0
	1	0	-38.7694	0.0389
	2	0	-38.6513	0.157
	3	0	-38.5025	0.3058
	4	0	-38.4562	0.3521
	5	0	-38.5902	0.2181
	6	0	-38.7343	0.074
Li-I-c-.30-v-1.34				
	0	0	-41.6522	0
	1	0	-41.628	0.0242
	2	0	-41.5469	0.1053
	3	0	-41.3712	0.281
	4	0	-41.407	0.2452
	5	0	-41.526	0.1262
	6	0	-41.6526	-0.0004
Li-I-c-.30-v-1.36				
	0	0	-44.2591	0
	1	0	-44.2482	0.0109
	2	0	-44.2009	0.0582
	3	0	-44.127	0.1321
	4	0	-44.1113	0.1478
	5	0	-44.2168	0.0423
	6	0	-44.3272	-0.0681
Li-I-c-.30-v-1.38				
	0	0	-46.6139	0
	1	0	-46.6139	0
	2	0	-46.5989	0.015
	3	0	-46.5575	0.0564
	4	0	-46.5552	0.0587
	5	0	-46.6482	-0.0343
	6	0	-46.7437	-0.1298
Li-I-c-.30-v-1.40				
	0	0	-48.7572	0
	1	0	-48.7698	-0.0126
	2	0	-48.7815	-0.0243
	3	0	-48.7698	-0.0126
	4	0	-48.7798	-0.0226
	5	0	-48.8614	-0.1042
	6	0	-48.9431	-0.1859
Li-I-c-.30-v-1.42				
	0	0	-50.7121	0
	1	0	-50.7336	-0.0215
	2	0	-50.7708	-0.0587
	3	0	-50.7876	-0.0755
	4	0	-50.8087	-0.0966
	5	0	-50.8798	-0.1677
	6	0	-50.9488	-0.2367
Li-I-c-.30-v-1.44				
	0	0	-52.5324	0
	1	0	-52.5644	-0.032
	2	0	-52.6253	-0.0929
	3	0	-52.6652	-0.1328
	4	0	-52.6965	-0.1641
	5	0	-52.7578	-0.2254
	6	0	-52.8151	-0.2827
Li-I-c-.30-v-1.46				
	0	0	-54.2102	0
	1	0	-54.2506	-0.0404
	2	0	-54.3328	-0.1226
	3	0	-54.3951	-0.1849
	4	0	-54.4356	-0.2254
	5	0	-54.488	-0.2778
	6	0	-54.5345	-0.3243
Li-I-c-.30-v-1.48				
	0	0	-55.7698	0
	1	0	-55.8179	-0.0481
	2	0	-55.9194	-0.1496
	3	0	-56.0021	-0.2323
	4	0	-56.0509	-0.2811
	5	0	-56.0951	-0.3253
	6	0	-56.1316	-0.3618
Li-I-c-.35-v-1.20				
	0	0	-5.3244	0
	1	0	-5.1649	0.1595
	2	0	-4.7407	0.5837
	3	0	-4.269	1.0554
	4	0	-4.0945	1.2299
	5	0	-4.3547	0.9697
	6	0	-4.643	0.6814
Li-I-c-.35-v-1.22				
	0	0	-12.5581	0
	1	0	-12.4238	0.1343
	2	0	-12.0639	0.4942
	3	0	-11.66	0.8981
	4	0	-11.5125	1.0456
	5	0	-11.7471	0.811
	6	0	-12.0061	0.552
Li-I-c-.35-v-1.24				
	0	0	-18.9075	0
	1	0	-18.7962	0.1113
	2	0	-18.4948	0.4127
	3	0	-18.1529	0.7546
	4	0	-18.0301	0.8774
	5	0	-18.2414	0.6661
	6	0	-18.4736	0.4339
Li-I-c-.35-v-1.26				
	0	0	-24.5448	0
	1	0	-24.4545	0.0903
	2	0	-24.2065	0.3383
	3	0	-23.9211	0.6237
	4	0	-23.8212	0.7236
	5	0	-24.011	0.5338
	6	0	-24.2185	0.3263
Li-I-c-.35-v-1.28				
	0	0	-29.6195	0
	1	0	-29.5484	0.0711
	2	0	-29.3491	0.2704
	3	0	-29.0236	0.5959
	4	0	-29.0362	0.5833
	5	0	-29.2066	0.4129
	6	0	-29.3914	0.2281
Li-I-c-.35-v-1.30				
	0	0	-34.1911	0
	1	0	-34.1376	0.0535
	2	0	-33.9827	0.2084
	3	0	-33.7959	0.3952
	4	0	-33.736	0.4551
	5	0	-33.8886	0.3025
	6	0	-34.0525	0.1386
Li-I-c-.35-v-1.32				
	0	0	-38.2533	0
	1	0	-38.2157	0.0376
	2	0	-38.1015	0.1518
	3	0	-37.9575	0.2958
	4	0	-37.9151	0.3382
	5	0	-38.0514	0.2019
	6	0	-38.1961	0.0572
Li-I-c-.35-v-1.34				
	0	0	-41.9167	0
	1	0	-41.8939	0.0228
	2	0	-41.8165	0.1002
	3	0	-41.6716	0.2451
	4	0	-41.6853	0.2314
	5	0	-41.8066	0.1101
	6	0	-41.9338	-0.0171
Li-I-c-.35-v-1.36				
	0	0	-45.2887	0
	1	0	-45.2782	0.0105
	2	0	-45.2356	0.0531
	3	0	-45.1665	0.1222
	4	0	-45.1547	0.134
	5	0	-45.2623	0.0264
	6	0	-45.3732	-0.0845
Li-I-c-.35-v-1.38				
	0	0	-48.358	0
	1	0	-48.3607	-0.0027
	2	0	-48.348	0.01
	3	0	-48.3113	0.0467
	4	0	-48.3129	0.0451
	5	0	-48.4078	-0.0498
	6	0	-48.5039	-0.1459
Li-I-c-.35-v-1.40				
	0	0	-51.1688	0
	1	0	-51.1827	-0.0139
	2	0	-51.1981	-0.0293
	3	0	-51.1911	-0.0223
	4	0	-51.2033	-0.0345
	5	0	-51.2884	-0.1196
	6	0	-51.3705	-0.2017
Li-I-c-.35-v-1.42				
	0	0	-53.7476	0
	1	0	-53.7716	-0.024
	2	0	-53.8127	-0.0651
	3	0	-53.8328	-0.0852
	4	0	-53.8577	-0.1101
	5	0	-53.9306	-0.183
	6	0	-54	-0.2524
Li-I-c-.35-v-1.44				
	0	0	-56.1517	0
	1	0	-56.185	-0.0333
	2	0	-56.2495	-0.0978
	3	0	-56.2942	-0.1425
	4	0	-56.3292	-0.1775
	5	0	-56.3923	-0.2406
	6	0	-56.4499	-0.2982
Li-I-c-.35-v-1.46				
	0	0	-58.3759	0
	1	0	-58.417	-0.0411
	2	0	-58.5028	-0.1269
	3	0	-58.5706	-0.1947
	4	0	-58.6145	-0.2386
	5	0	-58.6677	-0.2918
	6	0	-58.7156	-0.3397
Li-I-c-.35-v-1.48				
	0	0	-60.4474	0
	1	0	-60.4968	-0.0494
	2	0	-60.6005	-0.1531
	3	0	-60.6894	-0.242
	4	0	-60.7399	-0.2925
	5	0	-60.7866	-0.3392
	6	0	-60.8245	-0.3771
Li-I-c-.40-v-1.20				
	0	0	1.6437	0
	1	0	1.8013	0.1576
	2	0	2.2214	0.5777
	3	0	2.6892	1.0455
	4	0	2.8604	1.2167
	5	0	2.5973	0.9536
	6	0	2.3081	0.6644
Li-I-c-.40-v-1.22				
	0	0	-6.8432	0
	1	0	-6.7107	0.1325
	2	0	-6.3546	0.4886
	3	0	-5.9547	0.8885
	4	0	-5.8106	1.0326
