type,barrier,tet,,barrier,1.2,1.22,1.24,1.26,1.28,1.3,1.32,1.34,1.36,1.38,1.4,1.42,1.44,1.46,1.48
Li-I-c-.20-v-1.42,0.2049,-0.2049,,0.6,0.6045,0.4761,0.3589,0.252,0.1544,0.0654,-0.0156,-0.0894,-0.1566,-0.2177,-0.2732,-0.3236,-0.3691,-0.4104,-0.4475
Li-I-c-.20-v-1.44,0.2513,-0.2513,,0.65,0.5825,0.4559,0.3404,0.235,0.1388,0.0511,-0.029,-0.1019,-0.1684,-0.229,-0.2841,-0.3341,-0.3796,-0.4208,-0.458
Li-I-c-.20-v-1.46,0.2931,-0.2931,,0.7,0.5764,0.4496,0.334,0.2286,0.1325,0.0446,-0.0353,-0.1083,-0.1749,-0.2355,-0.2907,-0.3408,-0.3865,-0.4278,-0.4653
Li-I-c-.20-v-1.48,0.3307,-0.3307,,0.75,0.5783,0.4513,0.3355,0.2298,0.1333,0.0452,-0.0351,-0.1086,-0.1755,-0.2366,-0.2921,-0.3426,-0.3885,-0.4301,-0.4678
Li-I-c-.25-v-1.20,1.2617,0.7218,,0.8,0.5785,0.4523,0.3369,0.2314,0.135,0.047,-0.0333,-0.1064,-0.1731,-0.2338,-0.289,-0.3392,-0.3848,-0.426,-0.4635
Li-I-c-.25-v-1.22,1.0767,0.5909,,0.85,0.5717,0.4463,0.3322,0.2281,0.1332,0.0468,-0.0318,-0.1034,-0.1686,-0.2278,-0.2816,-0.3305,-0.3748,-0.4148,-0.4511
Li-I-c-.25-v-1.24,0.9079,0.4717,,,,,,,,,,,,,,,,,
Li-I-c-.25-v-1.26,0.7536,0.3631,,,,,,,,,,,,,,,,,
Li-I-c-.25-v-1.28,0.6129,0.2642,,,,,,,,,,,,,,,,,
Li-I-c-.25-v-1.30,0.4844,0.174,,,,,,,,,,,,,,,,,
Li-I-c-.25-v-1.32,0.367,0.0918,,,,,,,,,,,,,,,,,
Li-I-c-.25-v-1.34,0.2599,0.0169,,,,,,,,,,,,,,,,,
Li-I-c-.25-v-1.36,0.2133,-0.0513,,,,,,,,,,,,,,,,,
Li-I-c-.25-v-1.38,0.1861,-0.1133,,,,,,,,,,,,,,,,,
