type  barrier  tet,,,,,,,
Li-O-c-1.1-v-1.06  0.502  -0.502,,,,,,,
Li-O-c-1.2-v-.84  1.3198  0.6828,,,,,,,
Li-O-c-1.2-v-.86  1.0523  0.4884,,,,,,,
Li-O-c-1.2-v-.88  0.8164  0.3183,,,,,,,
Li-O-c-1.2-v-.90  0.6096  0.1681,,,,,,,
Li-O-c-1.2-v-.92  0.4274  0.0376,,,,,,,
Li-O-c-1.2-v-.94  0.34419999999999995  -0.0789,,,,,,,
Li-O-c-1.2-v-.96  0.3257  -0.1804,,,,,,,
Li-O-c-1.2-v-.98  0.3095  -0.272,,,,,,,
Li-O-c-1.2-v-1.00  0.3501  -0.3501,,,,,,,
Li-O-c-1.2-v-1.02  0.4199  -0.4199,,,,,,,
Li-O-c-1.2-v-1.04  0.4811  -0.4811,,,,,,,
Li-O-c-1.2-v-1.06  0.5332  -0.5332,,,,,,,
Li-O-c-1.3-v-.84  1.2813  0.6301,,,,,,,
Li-O-c-1.3-v-.86  1.0138  0.4379,,,,,,,
Li-O-c-1.3-v-.88  0.7783  0.27,,,,,,,
Li-O-c-1.3-v-.90  0.5718  0.1214,,,,,,,
Li-O-c-1.3-v-.92  0.4553  -0.0066,,,,,,,
Li-O-c-1.3-v-.94  0.3605  -0.1215,,,,,,,
Li-O-c-1.3-v-.96  0.3407  -0.2208,,,,,,,
Li-O-c-1.3-v-.98  0.3131  -0.3102,,,,,,,
Li-O-c-1.3-v-1.00  0.3866  -0.3866,,,,,,,
Li-O-c-1.3-v-1.02  0.454  -0.454,,,,,,,
Li-O-c-1.3-v-1.04  0.5137  -0.5137,,,,,,,
Li-O-c-1.3-v-1.06  0.5643  -0.5643,,,,,,,
Li-O-c-1.4-v-.84  1.2469  0.5831,,,,,,,
Li-O-c-1.4-v-.86  0.9791  0.3923,,,,,,,
Li-O-c-1.4-v-.88  0.743  0.2243,,,,,,,
Li-O-c-1.4-v-.90  0.5373  0.0784,,,,,,,
Li-O-c-1.4-v-.92  0.4052  -0.0497,,,,,,,
Li-O-c-1.4-v-.94  0.3755  -0.1612,,,,,,,
Li-O-c-1.4-v-.96  0.3554  -0.2597,,,,,,,
Li-O-c-1.4-v-.98  0.3477  -0.3477,,,,,,,
Li-O-c-1.4-v-1.00  0.4222  -0.4222,,,,,,,
Li-O-c-1.4-v-1.02  0.4883  -0.4883,,,,,,,
Li-O-c-1.4-v-1.04  0.5458  -0.5458,,,,,,,
Li-O-c-1.4-v-1.06  0.5951  -0.5951,,,,,,,
Li-O-c-1.5-v-.84  1.2149  0.5403,,,,,,,
Li-O-c-1.5-v-.86  0.9473  0.3508,,,,,,,
Li-O-c-1.5-v-.88  0.712  0.1857,,,,,,,
Li-O-c-1.5-v-.90  0.5057  0.0397,,,,,,,
Li-O-c-1.5-v-.92  0.4129  -0.0853,,,,,,,
Li-O-c-1.5-v-.94  0.3899  -0.198,,,,,,,
Li-O-c-1.5-v-.96  0.3668  -0.2953,,,,,,,
Li-O-c-1.5-v-.98  0.3806  -0.3806,,,,,,,
Li-O-c-1.5-v-1.00  0.4556  -0.4556,,,,,,,
Li-O-c-1.5-v-1.02  0.5201  -0.5201,,,,,,,
Li-O-c-1.5-v-1.04  0.5767  -0.5767,,,,,,,
Li-O-c-1.5-v-1.06  0.6252  -0.6252,,,,,,,
Li-O-c-1.6-v-.84  1.1804  0.502,,,,,,,
Li-O-c-1.6-v-.86  0.9134  0.3132,,,,,,,
Li-O-c-1.6-v-.88  0.6785  0.1488,,,,,,,
Li-O-c-1.6-v-.90  0.4736  0.0037,,,,,,,
Li-O-c-1.6-v-.92  0.4254  -0.1206,,,,,,,
Li-O-c-1.6-v-.94  0.402  -0.2317,,,,,,,
Li-O-c-1.6-v-.96  0.3809  -0.3277,,,,,,,
Li-O-c-1.6-v-.98  0.4131  -0.4131,,,,,,,
Li-O-c-1.6-v-1.00  0.4854  -0.4854,,,,,,,
Li-O-c-1.6-v-1.02  0.5491  -0.5491,,,,,,,
Li-O-c-1.6-v-1.04  0.6044  -0.6044,,,,,,,
Li-O-c-1.6-v-1.06  0.651  -0.651,,,,,,,
Li-O-c-1.7-v-.84  1.1626  0.4735,,,,,,,
Li-O-c-1.7-v-.86  0.8956  0.286,,,,,,,
Li-O-c-1.7-v-.88  0.6614  0.1226,,,,,,,
Li-O-c-1.7-v-.90  0.47819999999999996  -0.0209,,,,,,,
Li-O-c-1.7-v-.92  0.43999999999999995  -0.1444,,,,,,,
Li-O-c-1.7-v-.94  0.4159  -0.2541,,,,,,,
Li-O-c-1.7-v-.96  0.394  -0.3486,,,,,,,
Li-O-c-1.7-v-.98  0.4334  -0.4334,,,,,,,
Li-O-c-1.7-v-1.00  0.5047  -0.5047,,,,,,,
Li-O-c-1.7-v-1.02  0.5671  -0.5671,,,,,,,
Li-O-c-1.7-v-1.04  0.621  -0.621,,,,,,,
Li-O-c-1.7-v-1.06  0.667  -0.667,,,,,,,
Li-O-c-1.8-v-.84  1.1759  0.481,,,,,,,
Li-O-c-1.8-v-.86  0.9086  0.293,,,,,,,
Li-O-c-1.8-v-.88  0.6741  0.1293,,,,,,,
Li-O-c-1.8-v-.90  0.48450000000000004  -0.0149,,,,,,,
Li-O-c-1.8-v-.92  0.4459  -0.1385,,,,,,,
Li-O-c-1.8-v-.94  0.4219  -0.2481,,,,,,,
Li-O-c-1.8-v-.96  0.399  -0.343,,,,,,,
Li-O-c-1.8-v-.98  0.4276  -0.4276,,,,,,,
Li-O-c-1.8-v-1.00  0.4987  -0.4987,,,,,,,
Li-O-c-1.8-v-1.02  0.5611  -0.5611,,,,,,,
Li-O-c-1.8-v-1.04  0.6152  -0.6152,,,,,,,
Li-O-c-1.8-v-1.06  0.6609  -0.6609,,,,,,,type  barrier  tet
