type  barrier  tet
Li-Cl-c-.50-v-1.16  0.2319  -0.1099
Li-Cl-c-.50-v-1.18  0.21280000000000002  -0.1826
Li-Cl-c-.50-v-1.20  0.2472  -0.2472
Li-Cl-c-.50-v-1.22  0.3047  -0.3047
Li-Cl-c-.50-v-1.24  0.3557  -0.3557
Li-Cl-c-.50-v-1.26  0.401  -0.401
Li-Cl-c-.50-v-1.28  0.4409  -0.4409
Li-Cl-c-.50-v-1.30  0.4762  -0.4762
Li-Cl-c-.55-v-1.02  1.2711  0.6969
Li-Cl-c-.55-v-1.04  1.0447  0.5357
Li-Cl-c-.55-v-1.06  0.842  0.3916
Li-Cl-c-.55-v-1.08  0.6606  0.2629
Li-Cl-c-.55-v-1.10  0.4985  0.148
Li-Cl-c-.55-v-1.12  0.3532  0.0455
Li-Cl-c-.55-v-1.14  0.2693  -0.046
Li-Cl-c-.55-v-1.16  0.23470000000000002  -0.1275
Li-Cl-c-.55-v-1.18  0.22  -0.2
Li-Cl-c-.55-v-1.20  0.2648  -0.2648
Li-Cl-c-.55-v-1.22  0.322  -0.322
Li-Cl-c-.55-v-1.24  0.3731  -0.3731
Li-Cl-c-.55-v-1.26  0.4183  -0.4183
Li-Cl-c-.55-v-1.28  0.4582  -0.4582
Li-Cl-c-.55-v-1.30  0.4935  -0.4935
Li-Cl-c-.60-v-1.02  1.2518  0.6767
Li-Cl-c-.60-v-1.04  1.0268  0.516
Li-Cl-c-.60-v-1.06  0.8254  0.3723
Li-Cl-c-.60-v-1.08  0.6451  0.2443
Li-Cl-c-.60-v-1.10  0.4838  0.1299
Li-Cl-c-.60-v-1.12  0.3393  0.0279
Li-Cl-c-.60-v-1.14  0.2731  -0.0631
Li-Cl-c-.60-v-1.16  0.2561  -0.1442
Li-Cl-c-.60-v-1.18  0.22769999999999999  -0.2165
Li-Cl-c-.60-v-1.20  0.2809  -0.2809
Li-Cl-c-.60-v-1.22  0.3381  -0.3381
Li-Cl-c-.60-v-1.24  0.3891  -0.3891
Li-Cl-c-.60-v-1.26  0.4343  -0.4343
Li-Cl-c-.60-v-1.28  0.4743  -0.4743
Li-Cl-c-.60-v-1.30  0.5097  -0.5097
Li-Cl-c-.65-v-1.02  1.239  0.6558
Li-Cl-c-.65-v-1.04  1.0148  0.4967
Li-Cl-c-.65-v-1.06  0.8189  0.3545
Li-Cl-c-.65-v-1.08  0.6345  0.2276
Li-Cl-c-.65-v-1.10  0.4737  0.1143
Li-Cl-c-.65-v-1.12  0.3297  0.013
Li-Cl-c-.65-v-1.14  0.27799999999999997  -0.0773
Li-Cl-c-.65-v-1.16  0.2511  -0.158
Li-Cl-c-.65-v-1.18  0.2358  -0.23
Li-Cl-c-.65-v-1.20  0.2944  -0.2944
Li-Cl-c-.65-v-1.22  0.3518  -0.3518
Li-Cl-c-.65-v-1.24  0.4028  -0.4028
Li-Cl-c-.65-v-1.26  0.4482  -0.4482
Li-Cl-c-.65-v-1.28  0.4885  -0.4885
Li-Cl-c-.65-v-1.30  0.524  -0.524
Li-Cl-c-.70-v-1.02  1.2359  0.6488
Li-Cl-c-.70-v-1.04  1.0118  0.4895
Li-Cl-c-.70-v-1.06  0.8111  0.3471
Li-Cl-c-.70-v-1.08  0.6316  0.2199
Li-Cl-c-.70-v-1.10  0.4708  0.1064
Li-Cl-c-.70-v-1.12  0.3268  0.005
Li-Cl-c-.70-v-1.14  0.2833  -0.0857
Li-Cl-c-.70-v-1.16  0.2592  -0.1666
Li-Cl-c-.70-v-1.18  0.244  -0.2389
Li-Cl-c-.70-v-1.20  0.3036  -0.3036
Li-Cl-c-.70-v-1.22  0.3613  -0.3613
Li-Cl-c-.70-v-1.24  0.4126  -0.4126
Li-Cl-c-.70-v-1.26  0.4585  -0.4585
Li-Cl-c-.70-v-1.28  0.499  -0.499
Li-Cl-c-.70-v-1.30  0.535  -0.535
Li-Cl-c-.75-v-1.02  1.2421  0.6508
Li-Cl-c-.75-v-1.04  1.018  0.4911
Li-Cl-c-.75-v-1.06  0.8174  0.3483
Li-Cl-c-.75-v-1.08  0.6376  0.2206
Li-Cl-c-.75-v-1.10  0.4767  0.1066
Li-Cl-c-.75-v-1.12  0.3323  0.0045
Li-Cl-c-.75-v-1.14  0.2896  -0.0866
Li-Cl-c-.75-v-1.16  0.266  -0.1683
Li-Cl-c-.75-v-1.18  0.252  -0.241
Li-Cl-c-.75-v-1.20  0.3061  -0.3061
Li-Cl-c-.75-v-1.22  0.3642  -0.3642
Li-Cl-c-.75-v-1.24  0.4161  -0.4161
Li-Cl-c-.75-v-1.26  0.4623  -0.4623
Li-Cl-c-.75-v-1.28  0.5035  -0.5035
Li-Cl-c-.75-v-1.30  0.5399  -0.5399
Li-Cl-c-.80-v-1.02  1.2513  0.6537
Li-Cl-c-.80-v-1.04  1.0274  0.4941
Li-Cl-c-.80-v-1.06  0.8271  0.3515
Li-Cl-c-.80-v-1.08  0.6479  0.2241
Li-Cl-c-.80-v-1.10  0.4876  0.1104
Li-Cl-c-.80-v-1.12  0.3439  0.0088
Li-Cl-c-.80-v-1.14  0.2972  -0.082
Li-Cl-c-.80-v-1.16  0.27490000000000003  -0.163
Li-Cl-c-.80-v-1.18  0.2601  -0.2354
Li-Cl-c-.80-v-1.20  0.3002  -0.3002
Li-Cl-c-.80-v-1.22  0.358  -0.358
Li-Cl-c-.80-v-1.24  0.4096  -0.4096
Li-Cl-c-.80-v-1.26  0.4558  -0.4558
Li-Cl-c-.80-v-1.28  0.4968  -0.4968
Li-Cl-c-.80-v-1.30  0.5334  -0.5334
Li-Cl-c-.85-v-1.02  1.2542  0.6521
Li-Cl-c-.85-v-1.04  1.0331  0.4951
Li-Cl-c-.85-v-1.06  0.8353  0.3549
Li-Cl-c-.85-v-1.08  0.6585  0.2298
Li-Cl-c-.85-v-1.10  0.5004  0.1182
Li-Cl-c-.85-v-1.12  0.3591  0.0187
Li-Cl-c-.85-v-1.14  0.3028  -0.0702
Li-Cl-c-.85-v-1.16  0.2794  -0.1495
Li-Cl-c-.85-v-1.18  0.2649  -0.2202
Li-Cl-c-.85-v-1.20  0.2834  -0.2834
Li-Cl-c-.85-v-1.22  0.3396  -0.3396
Li-Cl-c-.85-v-1.24  0.3898  -0.3898
Li-Cl-c-.85-v-1.26  0.4344  -0.4344
Li-Cl-c-.85-v-1.28  0.4742  -0.4742
Li-Cl-c-.85-v-1.30  0.5095  -0.5095
