type  barrier  tet
Li-F-c-.55-v-.88  0.5195  0.1846
Li-F-c-.55-v-.90  0.343  0.0574
Li-F-c-.55-v-.92  0.24339999999999998  -0.052
Li-F-c-.55-v-.94  0.2137  -0.1463
Li-F-c-.55-v-.96  0.2278  -0.2278
Li-F-c-.55-v-.98  0.2982  -0.2982
Li-F-c-.55-v-1.00  0.3592  -0.3592
Li-F-c-.55-v-1.02  0.4118  -0.4118
Li-F-c-.55-v-1.04  0.4571  -0.4571
Li-F-c-.55-v-1.06  0.4961  -0.4961
Li-F-c-.55-v-1.08  0.5294  -0.5294
Li-F-c-.60-v-.80  1.5404  0.9256
Li-F-c-.60-v-.82  1.2203  0.6877
Li-F-c-.60-v-.84  0.9442  0.4846
Li-F-c-.60-v-.86  0.7067  0.3116
Li-F-c-.60-v-.88  0.502  0.1634
Li-F-c-.60-v-.90  0.3255  0.0363
Li-F-c-.60-v-.92  0.2467  -0.0728
Li-F-c-.60-v-.94  0.2214  -0.167
Li-F-c-.60-v-.96  0.2485  -0.2485
Li-F-c-.60-v-.98  0.3188  -0.3188
Li-F-c-.60-v-1.00  0.3797  -0.3797
Li-F-c-.60-v-1.02  0.4322  -0.4322
Li-F-c-.60-v-1.04  0.4777  -0.4777
Li-F-c-.60-v-1.06  0.5168  -0.5168
Li-F-c-.60-v-1.08  0.55  -0.55
Li-F-c-.65-v-.80  1.5268  0.9054
Li-F-c-.65-v-.82  1.2069  0.6684
Li-F-c-.65-v-.84  0.9309  0.466
Li-F-c-.65-v-.86  0.6935  0.2933
Li-F-c-.65-v-.88  0.4885  0.1454
Li-F-c-.65-v-.90  0.3122  0.0185
Li-F-c-.65-v-.92  0.24920000000000003  -0.0908
Li-F-c-.65-v-.94  0.22999999999999998  -0.1851
Li-F-c-.65-v-.96  0.2668  -0.2668
Li-F-c-.65-v-.98  0.3374  -0.3374
Li-F-c-.65-v-1.00  0.3984  -0.3984
Li-F-c-.65-v-1.02  0.4512  -0.4512
Li-F-c-.65-v-1.04  0.4967  -0.4967
Li-F-c-.65-v-1.06  0.5358  -0.5358
Li-F-c-.65-v-1.08  0.5693  -0.5693
Li-F-c-.70-v-.80  1.5217  0.8951
Li-F-c-.70-v-.82  1.2013  0.6577
Li-F-c-.70-v-.84  0.9249  0.4547
Li-F-c-.70-v-.86  0.6861  0.2814
Li-F-c-.70-v-.88  0.4816  0.133
Li-F-c-.70-v-.90  0.305  0.0059
Li-F-c-.70-v-.92  0.2549  -0.104
Li-F-c-.70-v-.94  0.23829999999999998  -0.1987
Li-F-c-.70-v-.96  0.2808  -0.2808
Li-F-c-.70-v-.98  0.352  -0.352
Li-F-c-.70-v-1.00  0.4134  -0.4134
Li-F-c-.70-v-1.02  0.4666  -0.4666
Li-F-c-.70-v-1.04  0.5126  -0.5126
Li-F-c-.70-v-1.06  0.5521  -0.5521
Li-F-c-.70-v-1.08  0.5858  -0.5858
Li-F-c-.75-v-.80  1.5288  0.8961
Li-F-c-.75-v-.82  1.2075  0.6576
Li-F-c-.75-v-.84  0.9301  0.4535
Li-F-c-.75-v-.86  0.6909  0.2794
Li-F-c-.75-v-.88  0.4853  0.1299
Li-F-c-.75-v-.90  0.3078  0.0017
Li-F-c-.75-v-.92  0.2629  -0.1089
Li-F-c-.75-v-.94  0.2468  -0.2044
Li-F-c-.75-v-.96  0.2874  -0.2874
Li-F-c-.75-v-.98  0.3591  -0.3591
Li-F-c-.75-v-1.00  0.4215  -0.4215
Li-F-c-.75-v-1.02  0.4754  -0.4754
Li-F-c-.75-v-1.04  0.5219  -0.5219
Li-F-c-.75-v-1.06  0.5622  -0.5622
Li-F-c-.75-v-1.08  0.5967  -0.5967
Li-F-c-.80-v-.80  1.5442  0.9044
Li-F-c-.80-v-.82  1.2237  0.6663
Li-F-c-.80-v-.84  0.9469  0.4624
Li-F-c-.80-v-.86  0.7086  0.2884
Li-F-c-.80-v-.88  0.503  0.1391
Li-F-c-.80-v-.90  0.3258  0.011
Li-F-c-.80-v-.92  0.2726  -0.0997
Li-F-c-.80-v-.94  0.2551  -0.1952
Li-F-c-.80-v-.96  0.2784  -0.2784
Li-F-c-.80-v-.98  0.3507  -0.3507
Li-F-c-.80-v-1.00  0.4135  -0.4135
Li-F-c-.80-v-1.02  0.4677  -0.4677
Li-F-c-.80-v-1.04  0.515  -0.515
Li-F-c-.80-v-1.06  0.5561  -0.5561
