type  barrier  tet
Li-Br-c-.50-v-1.28  0.2356  -0.2356
Li-Br-c-.50-v-1.30  0.2905  -0.2905
Li-Br-c-.50-v-1.32  0.3397  -0.3397
Li-Br-c-.50-v-1.34  0.3839  -0.3839
Li-Br-c-.50-v-1.36  0.4232  -0.4232
Li-Br-c-.55-v-1.08  1.3682  0.7653
Li-Br-c-.55-v-1.10  1.1503  0.611
Li-Br-c-.55-v-1.12  0.9531  0.4716
Li-Br-c-.55-v-1.14  0.7747  0.3457
Li-Br-c-.55-v-1.16  0.6134  0.2319
Li-Br-c-.55-v-1.18  0.4677  0.1292
Li-Br-c-.55-v-1.20  0.3361  0.0365
Li-Br-c-.55-v-1.22  0.2642  -0.0471
Li-Br-c-.55-v-1.24  0.25639999999999996  -0.1225
Li-Br-c-.55-v-1.26  0.2378  -0.1903
Li-Br-c-.55-v-1.28  0.2513  -0.2513
Li-Br-c-.55-v-1.30  0.3062  -0.3062
Li-Br-c-.55-v-1.32  0.3554  -0.3554
Li-Br-c-.55-v-1.34  0.3993  -0.3993
Li-Br-c-.55-v-1.36  0.4388  -0.4388
Li-Br-c-.60-v-1.08  1.3474  0.7465
Li-Br-c-.60-v-1.10  1.1311  0.5924
Li-Br-c-.60-v-1.12  0.9353  0.4533
Li-Br-c-.60-v-1.14  0.7583  0.3278
Li-Br-c-.60-v-1.16  0.5984  0.2145
Li-Br-c-.60-v-1.18  0.4537  0.1123
Li-Br-c-.60-v-1.20  0.3249  0.0202
Li-Br-c-.60-v-1.22  0.2676  -0.0629
Li-Br-c-.60-v-1.24  0.2391  -0.1378
Li-Br-c-.60-v-1.26  0.2247  -0.2053
Li-Br-c-.60-v-1.28  0.266  -0.266
Li-Br-c-.60-v-1.30  0.3206  -0.3206
Li-Br-c-.60-v-1.32  0.3697  -0.3697
Li-Br-c-.60-v-1.34  0.4137  -0.4137
Li-Br-c-.60-v-1.36  0.4531  -0.4531
Li-Br-c-.65-v-1.08  1.3339  0.7241
Li-Br-c-.65-v-1.10  1.1185  0.5719
Li-Br-c-.65-v-1.12  0.9236  0.4344
Li-Br-c-.65-v-1.14  0.7475  0.3104
Li-Br-c-.65-v-1.16  0.5882  0.1984
Li-Br-c-.65-v-1.18  0.4456  0.0974
Li-Br-c-.65-v-1.20  0.3159  0.0062
Li-Br-c-.65-v-1.22  0.2725  -0.0762
Li-Br-c-.65-v-1.24  0.24719999999999998  -0.1505
Li-Br-c-.65-v-1.26  0.23279999999999998  -0.2176
Li-Br-c-.65-v-1.28  0.2781  -0.2781
Li-Br-c-.65-v-1.30  0.3327  -0.3327
Li-Br-c-.65-v-1.32  0.3817  -0.3817
Li-Br-c-.65-v-1.34  0.4258  -0.4258
Li-Br-c-.65-v-1.36  0.4654  -0.4654
Li-Br-c-.70-v-1.08  1.3309  0.7178
Li-Br-c-.70-v-1.10  1.1154  0.5653
Li-Br-c-.70-v-1.12  0.9207  0.4277
Li-Br-c-.70-v-1.14  0.7448  0.3036
Li-Br-c-.70-v-1.16  0.5857  0.1915
Li-Br-c-.70-v-1.18  0.4495  0.0904
Li-Br-c-.70-v-1.20  0.31270000000000003  -0.0009
Li-Br-c-.70-v-1.22  0.2774  -0.0834
Li-Br-c-.70-v-1.24  0.2549  -0.1579
Li-Br-c-.70-v-1.26  0.2658  -0.2251
Li-Br-c-.70-v-1.28  0.2859  -0.2859
Li-Br-c-.70-v-1.30  0.3407  -0.3407
Li-Br-c-.70-v-1.32  0.3899  -0.3899
Li-Br-c-.70-v-1.34  0.4343  -0.4343
Li-Br-c-.70-v-1.36  0.4742  -0.4742
Li-Br-c-.75-v-1.08  1.3368  0.72
Li-Br-c-.75-v-1.10  1.1213  0.5673
Li-Br-c-.75-v-1.12  0.9265  0.4294
Li-Br-c-.75-v-1.14  0.7505  0.305
Li-Br-c-.75-v-1.16  0.5913  0.1924
Li-Br-c-.75-v-1.18  0.4474  0.0909
Li-Br-c-.75-v-1.20  0.318  -0.0009
Li-Br-c-.75-v-1.22  0.2831  -0.084
Li-Br-c-.75-v-1.24  0.2621  -0.1589
Li-Br-c-.75-v-1.26  0.25980000000000003  -0.2265
Li-Br-c-.75-v-1.28  0.2877  -0.2877
Li-Br-c-.75-v-1.30  0.3428  -0.3428
Li-Br-c-.75-v-1.32  0.3925  -0.3925
Li-Br-c-.75-v-1.34  0.4372  -0.4372
Li-Br-c-.75-v-1.36  0.4773  -0.4773
Li-Br-c-.80-v-1.08  1.3442  0.7219
Li-Br-c-.80-v-1.10  1.1292  0.5695
Li-Br-c-.80-v-1.12  0.9348  0.4318
Li-Br-c-.80-v-1.14  0.7589  0.3074
Li-Br-c-.80-v-1.16  0.6001  0.195
Li-Br-c-.80-v-1.18  0.4566  0.0937
Li-Br-c-.80-v-1.20  0.3268  0.0021
Li-Br-c-.80-v-1.22  0.2899  -0.0805
Li-Br-c-.80-v-1.24  0.2583  -0.155
Li-Br-c-.80-v-1.26  0.2555  -0.2224
Li-Br-c-.80-v-1.28  0.2831  -0.2831
Li-Br-c-.80-v-1.30  0.3379  -0.3379
Li-Br-c-.80-v-1.32  0.3873  -0.3873
Li-Br-c-.80-v-1.34  0.4317  -0.4317
Li-Br-c-.80-v-1.36  0.4717  -0.4717
Li-Br-c-.85-v-1.08  1.3425  0.7158
Li-Br-c-.85-v-1.10  1.1295  0.5653
Li-Br-c-.85-v-1.12  0.9373  0.4295
Li-Br-c-.85-v-1.14  0.7637  0.3072
Li-Br-c-.85-v-1.16  0.607  0.1969
Li-Br-c-.85-v-1.18  0.4655  0.0975
Li-Br-c-.85-v-1.20  0.3378  0.0078
Li-Br-c-.85-v-1.22  0.3179  -0.073
Li-Br-c-.85-v-1.24  0.2955  -0.146
Li-Br-c-.85-v-1.26  0.2607  -0.2117
Li-Br-c-.85-v-1.28  0.271  -0.271
Li-Br-c-.85-v-1.30  0.3243  -0.3243
Li-Br-c-.85-v-1.32  0.3723  -0.3723
Li-Br-c-.85-v-1.34  0.4154  -0.4154
Li-Br-c-.85-v-1.36  0.4541  -0.4541
